prompt,response,image,reference_type,evaluation_criteria
"Suppose, you are an human evaluator.
You are given the captions generated by two different models in the chart captioning task. Now, your task is to determine which model is better by considering the relevancy, conciseness, informativeness, and factual correctness of the model generated L1 caption describing the aspects of the chart’s construction (e.g., chart type and axis labels). Ideally, a better quality caption should be concise, factually correct, and relevant to the chart, while also providing high level informative insights of the chart.

Please provide your response in JSON format with the following keys: (i) Model, (ii) Explanation.

Here, the output value for the 'model' key is the respective model that is better, could be either 'Model A' or 'Model B', or 'Tie' if both models are equally good.

The value for the ""Explanation"" key will contain the reason behind your preference.

You should only provide the response in the required JSON format without any additional text such that I can correctly parse the result from your JSON formatted response.

In the following, you are first provided with the gold reference caption. Afterwards, you are given the model generated captions. You are also provided with the chart image which was used as the context for the chart captioning task.
Gold Reference Answer: Albania : Unemployment rate from 1999 to 2020 is a area chart . There is a linear scale with a minimum of 2000 and a maximum of 2015 on the x-axis , marked Year . There is a linear scale with a minimum of 0.00 and a maximum of 0.20 along the y-axis , labeled Unemployment rate .
Model A Generated Answer: The chart shows the unemployment rate in Albania from 1999 to 2020 . The unemployment rate fluctuated over this time period , reaching a peak around 2015-2016 before declining again . The chart uses a line graph to visually depict the changes in the unemployment rate over the 21-year span , allowing the viewer to easily observe the trends and patterns in the data .
Model B Generated Answer: The chart shows the unemployment rate in Albania from 1999 to 2020 . The highest unemployment rate was in 2000 at 19.5 % , and the lowest unemployment rate was in 2019 at 11.5 % . The unemployment rate decreased from 2000 to 2005 , then increased from 2005 to 2015 . From 2015 to 2020 the unemployment rate decreased .","{  ""Model"": ""Model A"",  ""Explanation"": ""Model A provides a concise and accurate description of the chart, mentioning the time period (1999 to 2020), the type of chart (line graph), and the general trend in the unemployment rate. It also highlights the peak around 2015-2016 and the subsequent decline, which aligns with the visual data. Model B, while providing specific percentages, includes inaccuracies such as the highest unemployment rate being in 2000 at 19.5%, which is not supported by the chart. Additionally, Model B  s description is less concise and introduces unnecessary details that do not enhance the understanding of the chart.""}",4795,With Reference,multi-dimensional
"Suppose, you are an human evaluator.
You are given the captions generated by two different models in the chart captioning task. Now, your task is to determine which model is better by considering the relevancy, conciseness, informativeness, and factual correctness of the model generated L1 caption describing the aspects of the chart’s construction (e.g., chart type and axis labels). Ideally, a better quality caption should be concise, factually correct, and relevant to the chart, while also providing high level informative insights of the chart.

Please provide your response in JSON format with the following keys: (i) Model, (ii) Explanation.

Here, the output value for the 'model' key is the respective model that is better, could be either 'Model A' or 'Model B', or 'Tie' if both models are equally good.

The value for the ""Explanation"" key will contain the reason behind your preference.

You should only provide the response in the required JSON format without any additional text such that I can correctly parse the result from your JSON formatted response.

In the following, you are first provided with the gold reference caption. Afterwards, you are given the model generated captions. You are also provided with the chart image which was used as the context for the chart captioning task.
Gold Reference Answer: Algeria : Age structure from 2009 to 2019 is a area chart . The x-axis plots Year while the y-axis plots 15-64 years .
Model A Generated Answer: The chart depicts the age structure in Algeria from 2009 to 2019 . The data is presented in the form of a bar graph , with the horizontal axis representing the years and the vertical axis representing the age structure over a 15-64 year period . The graph shows a consistent and stable age structure in Algeria during the given time frame , with the value remaining around 0.67 throughout the years , indicating a relatively constant working-age population during this period .
Model B Generated Answer: The chart shows the age structure of Algeria from 2009 to 2019 . The chart is encoded with the year on the x-axis and the age group on the y-axis . The data is presented as a bar chart . The chart shows that the population of Algeria is becoming younger . In 2009 , the majority of the population was aged 15-64 . By 2019 , the majority of the population was aged 0-14 .","{  ""Model"": ""Tie"",  ""Explanation"": ""Both Model A and Model B have inaccuracies in their descriptions. Model A incorrectly identifies the chart as a bar graph instead of an area chart and does not mention the specific age group (15-64 years). Model B also incorrectly identifies the chart as a bar chart and provides incorrect information about the population trends, stating that the population is becoming younger, which is not supported by the chart. Therefore, neither model provides a fully accurate or relevant description, making them equally flawed.""}",7279,With Reference,multi-dimensional
"Suppose, you are an human evaluator.
You are given the captions generated by two different models in the chart captioning task. Now, your task is to determine which model is better by considering the relevancy, conciseness, informativeness, and factual correctness of the model generated L1 caption describing the aspects of the chart’s construction (e.g., chart type and axis labels). Ideally, a better quality caption should be concise, factually correct, and relevant to the chart, while also providing high level informative insights of the chart.

Please provide your response in JSON format with the following keys: (i) Model, (ii) Explanation.

Here, the output value for the 'model' key is the respective model that is better, could be either 'Model A' or 'Model B', or 'Tie' if both models are equally good.

The value for the ""Explanation"" key will contain the reason behind your preference.

You should only provide the response in the required JSON format without any additional text such that I can correctly parse the result from your JSON formatted response.

In the following, you are first provided with the gold reference caption. Afterwards, you are given the model generated captions. You are also provided with the chart image which was used as the context for the chart captioning task.
Gold Reference Answer: Algeria : Distribution of gross domestic product ( GDP ) across economic sectors from 2009 to 2019 is a area plot . Along the y-axis , Services is plotted . Year is measured on the x-axis .
Model A Generated Answer: The chart displays a line graph depicting the changes in a metric , likely a service , over the years from 2010 to 2018 . The metric starts at around 0.2 in 2010 , increases to over 0.4 in 2012 , and then fluctuates between 0.3 and 0.4 for the remaining years shown . The data points are represented by dots , and the line connecting them is colored in a vibrant purple hue , creating a visually striking and informative representation of the trend over the given time period .
Model B Generated Answer: The chart shows the proportion of services in the economy over time . The chart begins in 2010 and ends in 2018 . The proportion of services in the economy is represented by a purple line . The proportion of services in the economy increased from 2010 to 2018 .","{  ""Model"": ""Model B"",  ""Explanation"": ""Model B provides a more accurate and concise description of the chart. It correctly identifies the chart as showing the proportion of services in the economy over time, starting from 2010 to 2018, and mentions the purple line representing this proportion. Model A, while detailed, includes unnecessary information about the visual representation (e.g., vibrant purple hue) and does not clearly state the main focus of the chart. Model B  s caption is more relevant and factually correct, making it the better choice.""}",6321,With Reference,multi-dimensional
"Suppose, you are an human evaluator.
You are given the captions generated by two different models in the chart captioning task. Now, your task is to determine which model is better by considering the relevancy, conciseness, informativeness, and factual correctness of the model generated L1 caption describing the aspects of the chart’s construction (e.g., chart type and axis labels). Ideally, a better quality caption should be concise, factually correct, and relevant to the chart, while also providing high level informative insights of the chart.

Please provide your response in JSON format with the following keys: (i) Model, (ii) Explanation.

Here, the output value for the 'model' key is the respective model that is better, could be either 'Model A' or 'Model B', or 'Tie' if both models are equally good.

The value for the ""Explanation"" key will contain the reason behind your preference.

You should only provide the response in the required JSON format without any additional text such that I can correctly parse the result from your JSON formatted response.

In the following, you are first provided with the gold reference caption. Afterwards, you are given the model generated captions. You are also provided with the chart image which was used as the context for the chart captioning task.
Gold Reference Answer: American Customer Satisfaction Index scores for full-service restaurants in the United States from 2007 to 2020 is a area plot . The y-axis plots ACSI score along linear scale from 0 to 80 while the x-axis shows Year along linear scale with a minimum of 2008 and a maximum of 2018 .
Model A Generated Answer: The chart displays the American Customer Satisfaction Index ( ACSI ) scores for full-service restaurants in the United States from 2007 to 2020 . The ACSI is a measure of customer satisfaction on a scale of 0 to 100 , with higher scores indicating greater customer satisfaction . The chart shows a relatively stable trend in customer satisfaction over the years , with the ACSI score fluctuating between 79 and 82 during the 2007-2020 period .
Model B Generated Answer: The American Customer Satisfaction Index ( ACSI ) for full-service restaurants in the United States experienced a decline from 2007 to 2020 . The ACSI score measures customer satisfaction with various aspects of dining out , including food quality , service , and atmosphere . The decline in the ACSI score for full-service restaurants may be due to a number of factors , including the rise of fast-casual dining options and the increasing popularity of home cooking .","{  ""Model"": ""Model A"",  ""Explanation"": ""Model A provides a more accurate and concise description of the chart. It correctly identifies the chart type as an area plot and accurately describes the axes, including the scale for the ACSI score and the years. Model B, on the other hand, inaccurately states that there was a decline in the ACSI scores from 2007 to 2020, which is not supported by the chart. Additionally, Model B includes speculative reasons for the decline, which are not relevant to the chart  s construction. Therefore, Model A is better in terms of relevancy, conciseness, informativeness, and factual correctness.""}",5651,With Reference,multi-dimensional
"Suppose, you are an human evaluator.
You are given the captions generated by two different models in the chart captioning task. Now, your task is to determine which model is better by considering the relevancy, conciseness, informativeness, and factual correctness of the model generated L1 caption describing the aspects of the chart’s construction (e.g., chart type and axis labels). Ideally, a better quality caption should be concise, factually correct, and relevant to the chart, while also providing high level informative insights of the chart.

Please provide your response in JSON format with the following keys: (i) Model, (ii) Explanation.

Here, the output value for the 'model' key is the respective model that is better, could be either 'Model A' or 'Model B', or 'Tie' if both models are equally good.

The value for the ""Explanation"" key will contain the reason behind your preference.

You should only provide the response in the required JSON format without any additional text such that I can correctly parse the result from your JSON formatted response.

In the following, you are first provided with the gold reference caption. Afterwards, you are given the model generated captions. You are also provided with the chart image which was used as the context for the chart captioning task.
Gold Reference Answer: Amount of money invested in road transport infrastructure in Denmark from 2004 to 2018 ( in million euros ) is a area graph . The y-axis measures Millions of euros invested while the x-axis measures Year .
Model A Generated Answer: The chart displays the amount of money invested in road transport infrastructure in Denmark from 2004 to 2018 , measured in million euros . The data shows a significant fluctuation over the years , with a peak in 2012 of around 1,200 million euros invested , followed by a decline and a subsequent increase in later years . The overall trend suggests that Denmark has made substantial investments in its road transport infrastructure during this period , but the level of investment has varied considerably from one year to the next .
Model B Generated Answer: The chart shows the amount of money invested in road transport infrastructure in Denmark from 2004 to 2018 . The y-axis shows the amount of money invested in millions of euros , while the x-axis shows the year . The chart shows that the amount of money invested in road transport infrastructure in Denmark increased from 2004 to 2007 , then decreased from 2008 to 2014 . In 2015 , the amount of money invested in road transport infrastructure in Denmark started to increase again and reached its peak in 2018 .","{  ""Model"": ""Model B"",  ""Explanation"": ""Model B provides a more accurate and detailed description of the chart  s construction and trends. It correctly identifies the axes and describes the fluctuations in investment over the years, including specific points of increase and decrease. Model A, while informative, includes some inaccuracies such as the peak year being 2012 instead of 2018 and does not provide as clear a depiction of the overall trend. Therefore, Model B is more precise and relevant to the chart.""}",2465,With Reference,multi-dimensional
"Suppose, you are an human evaluator.
You are given the captions generated by two different models in the chart captioning task. Now, your task is to determine which model is better by considering the relevancy, conciseness, informativeness, and factual correctness of the model generated L1 caption describing the aspects of the chart’s construction (e.g., chart type and axis labels). Ideally, a better quality caption should be concise, factually correct, and relevant to the chart, while also providing high level informative insights of the chart.

Please provide your response in JSON format with the following keys: (i) Model, (ii) Explanation.

Here, the output value for the 'model' key is the respective model that is better, could be either 'Model A' or 'Model B', or 'Tie' if both models are equally good.

The value for the ""Explanation"" key will contain the reason behind your preference.

You should only provide the response in the required JSON format without any additional text such that I can correctly parse the result from your JSON formatted response.

In the following, you are first provided with the gold reference caption. Afterwards, you are given the model generated captions. You are also provided with the chart image which was used as the context for the chart captioning task.
Gold Reference Answer: Amount of money invested in road transport infrastructure in Denmark from 2004 to 2018 ( in million euros ) is a area graph . The y-axis measures Millions of euros invested while the x-axis measures Year .
Model A Generated Answer: The chart displays the amount of money invested in road transport infrastructure in Denmark from 2004 to 2018 , measured in million euros . The investment levels fluctuate significantly over the years , with a peak in 2012 of around 1,330 million euros and a subsequent decline to around 1,000 million euros in 2016 . The overall trend shows a high level of investment in Denmark 's road transport infrastructure during this period .
Model B Generated Answer: The chart shows the amount of money invested in road transport infrastructure in Denmark from 2004 to 2018 . The y-axis shows the amount of money invested in millions of euros , while the x-axis shows the year . The chart shows that the amount of money invested in road transport infrastructure in Denmark increased from 2004 to 2007 , then decreased from 2008 to 2014 . In 2015 , the amount of money invested in road transport infrastructure in Denmark started to increase again and reached its peak in 2018 .","{  ""Model"": ""Model B"",  ""Explanation"": ""Model B provides a more accurate and detailed description of the chart  s construction and trends. It correctly identifies the axes and describes the fluctuations in investment over the years, including specific periods of increase and decrease. Model A, while informative, includes an incorrect peak year (2012 instead of 2018) and does not provide as clear a depiction of the overall trend. Therefore, Model B is more relevant, concise, and factually correct.""}",2465,With Reference,multi-dimensional
"Suppose, you are an human evaluator.
You are given the captions generated by two different models in the chart captioning task. Now, your task is to determine which model is better by considering the relevancy, conciseness, informativeness, and factual correctness of the model generated L1 caption describing the aspects of the chart’s construction (e.g., chart type and axis labels). Ideally, a better quality caption should be concise, factually correct, and relevant to the chart, while also providing high level informative insights of the chart.

Please provide your response in JSON format with the following keys: (i) Model, (ii) Explanation.

Here, the output value for the 'model' key is the respective model that is better, could be either 'Model A' or 'Model B', or 'Tie' if both models are equally good.

The value for the ""Explanation"" key will contain the reason behind your preference.

You should only provide the response in the required JSON format without any additional text such that I can correctly parse the result from your JSON formatted response.

In the following, you are first provided with the gold reference caption. Afterwards, you are given the model generated captions. You are also provided with the chart image which was used as the context for the chart captioning task.
Gold Reference Answer: Amount of money invested in road transport infrastructure in Denmark from 2004 to 2018 ( in million euros ) is a area graph . The y-axis measures Millions of euros invested while the x-axis measures Year .
Model A Generated Answer: The chart shows the amount of money invested in road transport infrastructure in Denmark from 2004 to 2018 , measured in million euros . The investment levels fluctuate over the years , with a sharp increase from 2004 to 2008 , followed by a decline and then a gradual increase again from 2012 onwards . The highest level of investment occurred in 2016 , reaching over 1,400 million euros .
Model B Generated Answer: The chart shows the amount of money invested in road transport infrastructure in Denmark from 2004 to 2018 . The y-axis shows the amount of money invested in millions of euros , while the x-axis shows the year . The chart shows that the amount of money invested in road transport infrastructure in Denmark increased from 2004 to 2007 , then decreased from 2008 to 2014 . In 2015 , the amount of money invested in road transport infrastructure in Denmark started to increase again and reached its peak in 2018 . The total amount of money invested in road transport infrastructure in Denmark from 2004 to 2018 is approximately 10.56 billion euros .","{  ""Model"": ""Model A"",  ""Explanation"": ""Model A provides a concise and factually correct description of the chart, accurately identifying the chart type as an area graph and correctly describing the axes. It also offers relevant insights into the trends shown in the chart, such as the sharp increase from 2004 to 2008, the decline, and the gradual increase again from 2012 onwards. Model B, while also providing some useful information, includes an incorrect total amount of money invested and lacks the same level of detail regarding the specific trends over the years. Therefore, Model A is more accurate and informative.""}",2465,With Reference,multi-dimensional
"Suppose, you are an human evaluator.
You are given the captions generated by two different models in the chart captioning task. Now, your task is to determine which model is better by considering the relevancy, conciseness, informativeness, and factual correctness of the model generated L1 caption describing the aspects of the chart’s construction (e.g., chart type and axis labels). Ideally, a better quality caption should be concise, factually correct, and relevant to the chart, while also providing high level informative insights of the chart.

Please provide your response in JSON format with the following keys: (i) Model, (ii) Explanation.

Here, the output value for the 'model' key is the respective model that is better, could be either 'Model A' or 'Model B', or 'Tie' if both models are equally good.

The value for the ""Explanation"" key will contain the reason behind your preference.

You should only provide the response in the required JSON format without any additional text such that I can correctly parse the result from your JSON formatted response.

In the following, you are first provided with the gold reference caption. Afterwards, you are given the model generated captions. You are also provided with the chart image which was used as the context for the chart captioning task.
Gold Reference Answer: Annual change in spending on sports and recreation in the United States in 2017 , by type is a bar graph . The y-axis measures No money using linear scale of range 0 to 150 while the x-axis plots Same as last year on scale with a minimum of 15 and a maximum of 44 .
Model A Generated Answer: The chart displays the annual change in spending on sports and recreation in the United States in 2017 , categorized by type . The data shows that `` No money '' spending saw the largest increase at 144 % , while spending that was `` Same as last year '' decreased across all categories , with the highest percentage at 15 % . The chart provides a visual representation of the changes in spending patterns across different types of sports and recreation activities in the United States during the specified time period .
Model B Generated Answer: The chart shows the annual change in spending on sports and recreation in the United States in 2017 , by type . The chart has a horizontal axis representing the type of sports and recreation and a vertical axis representing the annual change in spending . The chart shows that spending on sports and recreation increased for some types and decreased for others . The types of sports and recreation with the largest increases in spending were 135 % for no money , 50 % for same as last year , and 33 % for 2 . The types of sports and recreation with the largest decreases in spending were 43 % for 44 and 30 % for 40 .","{  ""Model"": ""Tie"",  ""Explanation"": ""Both Model A and Model B provide relevant and informative insights into the chart. However, neither model accurately describes the chart  s construction in terms of axis labels and scales. Model A mentions percentages for spending changes, which is not depicted in the chart. Model B also inaccurately describes the axes and the specific spending changes. Both models fail to correctly identify the y-axis as measuring   No money   using a linear scale from 0 to 150 and the x-axis as plotting   Same as last year   on a scale from 15 to 44. Therefore, both models are equally good but also equally flawed in their descriptions.""}",7272,With Reference,multi-dimensional
"Suppose, you are an human evaluator.
You are given the captions generated by two different models in the chart captioning task. Now, your task is to determine which model is better by considering the relevancy, conciseness, informativeness, and factual correctness of the model generated L1 caption describing the aspects of the chart’s construction (e.g., chart type and axis labels). Ideally, a better quality caption should be concise, factually correct, and relevant to the chart, while also providing high level informative insights of the chart.

Please provide your response in JSON format with the following keys: (i) Model, (ii) Explanation.

Here, the output value for the 'model' key is the respective model that is better, could be either 'Model A' or 'Model B', or 'Tie' if both models are equally good.

The value for the ""Explanation"" key will contain the reason behind your preference.

You should only provide the response in the required JSON format without any additional text such that I can correctly parse the result from your JSON formatted response.

In the following, you are first provided with the gold reference caption. Afterwards, you are given the model generated captions. You are also provided with the chart image which was used as the context for the chart captioning task.
Gold Reference Answer: Annual change in spending on sports and recreation in the United States in 2017 , by type is a bar graph . The y-axis measures No money using linear scale of range 0 to 150 while the x-axis plots Same as last year on scale with a minimum of 15 and a maximum of 44 .
Model A Generated Answer: The chart displays the annual change in spending on sports and recreation in the United States in 2017 , categorized by type . The largest change is for the `` No money '' category , which increased by approximately 150 % compared to the previous year . The other categories show smaller , positive changes , with `` Same as last year '' increasing by around 44 % . Overall , the chart provides a visual representation of the fluctuations in spending on different types of sports and recreation activities in the US during the given time period .
Model B Generated Answer: The chart shows the annual change in spending on sports and recreation in the United States in 2017 , by type . The chart has a horizontal axis representing the type of sports and recreation and a vertical axis representing the annual change in spending . The chart shows that spending on sports and recreation increased for some types and decreased for others . The types of sports and recreation with the largest increases in spending were live sports events , up 145 % , and sports betting , up 33 % . The types of sports and recreation with the largest decreases in spending were golf , down 43 % , and hunting and fishing , down 40 % .","{  ""Model"": ""Tie"",  ""Explanation"": ""Both Model A and Model B provide relevant and informative descriptions of the chart. However, neither model accurately describes the chart  s construction. Model A incorrectly states that the   No money   category increased by approximately 150%, while Model B incorrectly mentions specific types of sports and recreation with percentage changes that are not present in the chart. Both models fail to correctly describe the axes and the scale, which are crucial for understanding the chart. Therefore, both models are equally good in terms of relevance and informativeness but lack factual correctness.""}",7272,With Reference,multi-dimensional
"Suppose, you are an human evaluator.
You are given the captions generated by two different models in the chart captioning task. Now, your task is to determine which model is better by considering the relevancy, conciseness, informativeness, and factual correctness of the model generated L1 caption describing the aspects of the chart’s construction (e.g., chart type and axis labels). Ideally, a better quality caption should be concise, factually correct, and relevant to the chart, while also providing high level informative insights of the chart.

Please provide your response in JSON format with the following keys: (i) Model, (ii) Explanation.

Here, the output value for the 'model' key is the respective model that is better, could be either 'Model A' or 'Model B', or 'Tie' if both models are equally good.

The value for the ""Explanation"" key will contain the reason behind your preference.

You should only provide the response in the required JSON format without any additional text such that I can correctly parse the result from your JSON formatted response.

In the following, you are first provided with the gold reference caption. Afterwards, you are given the model generated captions. You are also provided with the chart image which was used as the context for the chart captioning task.
Gold Reference Answer: Annual number of doctors licensed to practice in Austria from 2000 to 2017 ( per 1,000 people ) is a area graph . The x-axis shows Year along linear scale of range 2000 to 2015 while the y-axis shows Number of doctors per 1,000 people as linear scale with a minimum of 0 and a maximum of 5 .
Model A Generated Answer: The attached chart shows the annual number of doctors licensed to practice in Austria from 2000 to 2017 , presented as the number of doctors per 1,000 people . The chart displays a steadily increasing trend over the years , with the number of doctors rising from around 3.5 per 1,000 people in 2000 to just over 5 per 1,000 people by 2017 . The data points are presented at regular intervals of 5 years , providing a clear visualization of the growth in the number of licensed doctors in Austria over the 17-year period covered in the chart .
Model B Generated Answer: The chart is an SVG depicting the number of doctors licensed to practice in Austria from 2000 to 2017 . Encoded in the chart is the number of doctors per 1,000 people . The chart illustrates an increase in the number of doctors per 1,000 people from 2000 to 2017 .","{  ""Model"": ""Model A"",  ""Explanation"": ""Model A provides a more detailed and accurate description of the chart. It correctly identifies the chart type as an area graph and describes the axes, including the linear scale for both the x-axis (Year) and y-axis (Number of doctors per 1,000 people). Additionally, Model A mentions the trend of the data, noting the increase in the number of doctors from 2000 to 2017. In contrast, Model B lacks detail about the axes and does not provide specific information about the trend or the values on the chart. Therefore, Model A is more informative, relevant, and concise.""}",2536,With Reference,multi-dimensional
