prompt,response,image,reference_type,evaluation_criteria
"Suppose, you are an human evaluator.
You are given the captions generated by two different models in the chart captioning task. Now, your task is to determine which model is better by considering the relevancy, conciseness, informativeness, and factual correctness of the model generated L1 caption describing the aspects of the chart’s construction (e.g., chart type and axis labels). Ideally, a better quality caption should be concise, factually correct, and relevant to the chart, while also providing high level informative insights of the chart.

Please provide your response in JSON format with the following keys: (i) Model, (ii) Explanation.

Here, the output value for the 'model' key is the respective model that is better, could be either 'Model A' or 'Model B', or 'Tie' if both models are equally good.

The value for the ""Explanation"" key will contain the reason behind your preference.

You should only provide the response in the required JSON format without any additional text such that I can correctly parse the result from your JSON formatted response.

In the following, you are first provided with the gold reference caption. Afterwards, you are given the model generated captions. You are also provided with the chart image which was used as the context for the chart captioning task.
Gold Reference Answer: Actions taken in last three years because of security and privacy issues when using the internet according to online users in the United States as of September 2018 is a bar graph . The y-axis measures Response along categorical scale from Do n't know to Other while the x-axis measures Percentage of respondents along linear scale of range 0.0 to 0.4 .
Model A Generated Answer: The provided chart shows the actions taken by online users in the United States over the last three years due to security and privacy concerns . The key findings include : a significant proportion of respondents starting to use different passwords , installing antivirus software , and changing security settings on their devices ; a sizable portion deciding to only visit websites they know or trust ; and many respondents indicating they are less likely to provide personal information , buy goods or services , or bank online . The chart also reveals that a small percentage of users have cancelled online purchases due to such concerns . Overall , the data suggests a growing awareness and proactive measures taken by US internet users to safeguard their security and privacy when engaging with online platforms and services .
Model B Generated Answer: The chart shows the actions taken by internet users in the United States in response to security and privacy issues . The most common action was to change security settings , with 37 % of respondents reporting doing so . This was followed by only using personal computers , with 36 % of respondents reporting doing so . The third most common action was to start changing passwords regularly , with 35 % of respondents reporting doing so . Other actions taken include not using public Wi-Fi , not clicking on links in emails , and using a VPN .","```json
{
    ""Model"": ""Model A"",
    ""Explanation"": ""Model A provides a comprehensive overview of the chart, covering various actions taken by users and the overall trend towards increased security awareness. It mentions specific actions like using different passwords, installing antivirus software, and changing security settings, which closely align with the chart data. Model B, while more concise, incorrectly specifies exact percentages that do not match the chart, such as 'change security settings' at 37% and 'only using personal computers' at 36%, which are not factually correct. Therefore, Model A offers a more accurate, informative, and relevant description of the chart.""
}
```",5729,With Reference,multi-dimensional
"Suppose, you are an human evaluator.
You are given the captions generated by two different models in the chart captioning task. Now, your task is to determine which model is better by considering the relevancy, conciseness, informativeness, and factual correctness of the model generated L1 caption describing the aspects of the chart’s construction (e.g., chart type and axis labels). Ideally, a better quality caption should be concise, factually correct, and relevant to the chart, while also providing high level informative insights of the chart.

Please provide your response in JSON format with the following keys: (i) Model, (ii) Explanation.

Here, the output value for the 'model' key is the respective model that is better, could be either 'Model A' or 'Model B', or 'Tie' if both models are equally good.

The value for the ""Explanation"" key will contain the reason behind your preference.

You should only provide the response in the required JSON format without any additional text such that I can correctly parse the result from your JSON formatted response.

In the following, you are first provided with the gold reference caption. Afterwards, you are given the model generated captions. You are also provided with the chart image which was used as the context for the chart captioning task.
Gold Reference Answer: Algeria : Age structure from 2009 to 2019 is a area chart . The x-axis plots Year while the y-axis plots 15-64 years .
Model A Generated Answer: The chart depicts the age structure in Algeria from 2009 to 2019 . The data is presented in the form of a bar graph , with the horizontal axis representing the years and the vertical axis representing the age structure over a 15-64 year period . The graph shows a consistent and stable age structure in Algeria during the given time frame , with the value remaining around 0.67 throughout the years , indicating a relatively constant working-age population during this period .
Model B Generated Answer: The chart shows the age structure of Algeria from 2009 to 2019 . The chart is encoded with the year on the x-axis and the age group on the y-axis . The data is presented as a bar chart . The chart shows that the population of Algeria is becoming younger . In 2009 , the majority of the population was aged 15-64 . By 2019 , the majority of the population was aged 0-14 .","```json
{
    ""Model"": ""Model A"",
    ""Explanation"": ""Model A correctly identifies the chart as an area chart and accurately describes the x-axis and y-axis labels. It provides a relevant and concise description of the data trend, indicating a stable working-age population. Model B incorrectly identifies the chart as a bar chart and provides a misleading interpretation of the age structure change, which doesn't align with the chart data. Thus, Model A is more factually correct and relevant.""
}
```",7279,With Reference,multi-dimensional
"Suppose, you are an human evaluator.
You are given the captions generated by two different models in the chart captioning task. Now, your task is to determine which model is better by considering the relevancy, conciseness, informativeness, and factual correctness of the model generated L1 caption describing the aspects of the chart’s construction (e.g., chart type and axis labels). Ideally, a better quality caption should be concise, factually correct, and relevant to the chart, while also providing high level informative insights of the chart.

Please provide your response in JSON format with the following keys: (i) Model, (ii) Explanation.

Here, the output value for the 'model' key is the respective model that is better, could be either 'Model A' or 'Model B', or 'Tie' if both models are equally good.

The value for the ""Explanation"" key will contain the reason behind your preference.

You should only provide the response in the required JSON format without any additional text such that I can correctly parse the result from your JSON formatted response.

In the following, you are first provided with the gold reference caption. Afterwards, you are given the model generated captions. You are also provided with the chart image which was used as the context for the chart captioning task.
Gold Reference Answer: Algeria : Distribution of gross domestic product ( GDP ) across economic sectors from 2009 to 2019 is a area plot . Along the y-axis , Services is plotted . Year is measured on the x-axis .
Model A Generated Answer: The chart displays a line graph depicting the changes in a metric , likely a service , over the years from 2010 to 2018 . The metric starts at around 0.2 in 2010 , increases to over 0.4 in 2012 , and then fluctuates between 0.3 and 0.4 for the remaining years shown . The data points are represented by dots , and the line connecting them is colored in a vibrant purple hue , creating a visually striking and informative representation of the trend over the given time period .
Model B Generated Answer: The chart shows the proportion of services in the economy over time . The chart begins in 2010 and ends in 2018 . The proportion of services in the economy is represented by a purple line . The proportion of services in the economy increased from 2010 to 2018 .","```json
{
    ""Model"": ""Model B"",
    ""Explanation"": ""Model B provides a concise and relevant description of the chart as it accurately identifies the chart as showing the proportion of services over time, which aligns with the chart's axes and type. It focuses on the essential trend without unnecessary details, making it more concise and informative. Model A incorrectly describes the chart type as a line graph and includes more detail about colors and data points that are not relevant to understanding the chart's construction and economic insights.""
}
```",6321,With Reference,multi-dimensional
"Suppose, you are an human evaluator.
You are given the captions generated by two different models in the chart captioning task. Now, your task is to determine which model is better by considering the relevancy, conciseness, informativeness, and factual correctness of the model generated L1 caption describing the aspects of the chart’s construction (e.g., chart type and axis labels). Ideally, a better quality caption should be concise, factually correct, and relevant to the chart, while also providing high level informative insights of the chart.

Please provide your response in JSON format with the following keys: (i) Model, (ii) Explanation.

Here, the output value for the 'model' key is the respective model that is better, could be either 'Model A' or 'Model B', or 'Tie' if both models are equally good.

The value for the ""Explanation"" key will contain the reason behind your preference.

You should only provide the response in the required JSON format without any additional text such that I can correctly parse the result from your JSON formatted response.

In the following, you are first provided with the gold reference caption. Afterwards, you are given the model generated captions. You are also provided with the chart image which was used as the context for the chart captioning task.
Gold Reference Answer: American Customer Satisfaction Index scores for full-service restaurants in the United States from 2007 to 2020 is a area plot . The y-axis plots ACSI score along linear scale from 0 to 80 while the x-axis shows Year along linear scale with a minimum of 2008 and a maximum of 2018 .
Model A Generated Answer: The chart displays the American Customer Satisfaction Index ( ACSI ) scores for full-service restaurants in the United States from 2007 to 2020 . The ACSI is a measure of customer satisfaction on a scale of 0 to 100 , with higher scores indicating greater customer satisfaction . The chart shows a relatively stable trend in customer satisfaction over the years , with the ACSI score fluctuating between 79 and 82 during the 2007-2020 period .
Model B Generated Answer: The American Customer Satisfaction Index ( ACSI ) for full-service restaurants in the United States experienced a decline from 2007 to 2020 . The ACSI score measures customer satisfaction with various aspects of dining out , including food quality , service , and atmosphere . The decline in the ACSI score for full-service restaurants may be due to a number of factors , including the rise of fast-casual dining options and the increasing popularity of home cooking .","```json
{
    ""Model"": ""Model A"",
    ""Explanation"": ""Model A accurately mentions that the ACSI scores for full-service restaurants are displayed from 2007 to 2020, with a stable trend. It correctly discusses the fluctuation in scores, matching the chart's data. Model B inaccurately states a decline in scores and speculates on reasons for change without support from the chart. Model A is more concise, relevant, and factually aligned with the chart's data.""
}
```",5651,With Reference,multi-dimensional
"Suppose, you are an human evaluator.
You are given the captions generated by two different models in the chart captioning task. Now, your task is to determine which model is better by considering the relevancy, conciseness, informativeness, and factual correctness of the model generated L1 caption describing the aspects of the chart’s construction (e.g., chart type and axis labels). Ideally, a better quality caption should be concise, factually correct, and relevant to the chart, while also providing high level informative insights of the chart.

Please provide your response in JSON format with the following keys: (i) Model, (ii) Explanation.

Here, the output value for the 'model' key is the respective model that is better, could be either 'Model A' or 'Model B', or 'Tie' if both models are equally good.

The value for the ""Explanation"" key will contain the reason behind your preference.

You should only provide the response in the required JSON format without any additional text such that I can correctly parse the result from your JSON formatted response.

In the following, you are first provided with the gold reference caption. Afterwards, you are given the model generated captions. You are also provided with the chart image which was used as the context for the chart captioning task.
Gold Reference Answer: Annual change in spending on sports and recreation in the United States in 2017 , by type is a bar graph . The y-axis measures No money using linear scale of range 0 to 150 while the x-axis plots Same as last year on scale with a minimum of 15 and a maximum of 44 .
Model A Generated Answer: The chart displays the annual change in spending on sports and recreation in the United States in 2017 , categorized by type . The largest change is for the `` No money '' category , which increased by approximately 150 % compared to the previous year . The other categories show smaller , positive changes , with `` Same as last year '' increasing by around 44 % . Overall , the chart provides a visual representation of the fluctuations in spending on different types of sports and recreation activities in the US during the given time period .
Model B Generated Answer: The chart shows the annual change in spending on sports and recreation in the United States in 2017 , by type . The chart has a horizontal axis representing the type of sports and recreation and a vertical axis representing the annual change in spending . The chart shows that spending on sports and recreation increased for some types and decreased for others . The types of sports and recreation with the largest increases in spending were live sports events , up 145 % , and sports betting , up 33 % . The types of sports and recreation with the largest decreases in spending were golf , down 43 % , and hunting and fishing , down 40 % .","```json
{
    ""Model"": ""Model A"",
    ""Explanation"": ""Model A accurately describes the chart type, axis labels, and range. It correctly identifies the 'No money' category as having the largest change of approximately 150% and mentions the 'Same as last year' category at around 44%, which are aligned with the chart. Model B inaccurately mentions categories not present in the chart, such as 'live sports events' and 'golf,' making it factually incorrect. Model A is more relevant and correct according to the image provided.""
}
```",7272,With Reference,multi-dimensional
"Suppose, you are an human evaluator.
You are given the captions generated by two different models in the chart captioning task. Now, your task is to determine which model is better by considering the relevancy, conciseness, informativeness, and factual correctness of the model generated L1 caption describing the aspects of the chart’s construction (e.g., chart type and axis labels). Ideally, a better quality caption should be concise, factually correct, and relevant to the chart, while also providing high level informative insights of the chart.

Please provide your response in JSON format with the following keys: (i) Model, (ii) Explanation.

Here, the output value for the 'model' key is the respective model that is better, could be either 'Model A' or 'Model B', or 'Tie' if both models are equally good.

The value for the ""Explanation"" key will contain the reason behind your preference.

You should only provide the response in the required JSON format without any additional text such that I can correctly parse the result from your JSON formatted response.

In the following, you are first provided with the gold reference caption. Afterwards, you are given the model generated captions. You are also provided with the chart image which was used as the context for the chart captioning task.
Gold Reference Answer: Annual expenditure on beer in the United Kingdom from 2005 to 2019 , based on volume ( in million GBP ) is a line diagram . A linear scale from 0 to 5,000 can be found on the y-axis , labeled Expenditure in million GBP . On the x-axis , Year is defined on a linear scale of range 2006 to 2018 .
Model A Generated Answer: The chart depicts the annual expenditure on beer in the United Kingdom from 2005 to 2019 , based on volume and measured in million GBP . The expenditure exhibits fluctuations over the years , with an initial decline followed by a gradual increase . The data shows a general trend of the expenditure increasing , with the highest point reached in 2019 at around 4,600 million GBP .
Model B Generated Answer: The chart shows the annual expenditure on beer in the United Kingdom from 2005 to 2019 . The y-axis shows the expenditure in millions of GBP , while the x-axis shows the year . The chart shows that the expenditure on beer in the United Kingdom increased from 2005 to 2019 . In 2005 , the expenditure was around 4,500 million GBP , and in 2019 , it was around 5,500 million GBP .","```json
{
    ""Model"": ""Model A"",
    ""Explanation"": ""Model A's caption is more concise and accurately describes the general trend of expenditure, including the time frame and correct value in 2019. Model B contains factual inaccuracies, specifically the incorrect initial and final expenditure values. Model A, therefore, provides a better quality caption in terms of factual correctness, relevancy, and informativeness.""
}
```",2100,With Reference,multi-dimensional
"Suppose, you are an human evaluator.
You are given the captions generated by two different models in the chart captioning task. Now, your task is to determine which model is better by considering the relevancy, conciseness, informativeness, and factual correctness of the model generated L1 caption describing the aspects of the chart’s construction (e.g., chart type and axis labels). Ideally, a better quality caption should be concise, factually correct, and relevant to the chart, while also providing high level informative insights of the chart.

Please provide your response in JSON format with the following keys: (i) Model, (ii) Explanation.

Here, the output value for the 'model' key is the respective model that is better, could be either 'Model A' or 'Model B', or 'Tie' if both models are equally good.

The value for the ""Explanation"" key will contain the reason behind your preference.

You should only provide the response in the required JSON format without any additional text such that I can correctly parse the result from your JSON formatted response.

In the following, you are first provided with the gold reference caption. Afterwards, you are given the model generated captions. You are also provided with the chart image which was used as the context for the chart captioning task.
Gold Reference Answer: Annual number of doctors licensed to practice in Austria from 2000 to 2017 ( per 1,000 people ) is a area graph . The x-axis shows Year along linear scale of range 2000 to 2015 while the y-axis shows Number of doctors per 1,000 people as linear scale with a minimum of 0 and a maximum of 5 .
Model A Generated Answer: The attached chart shows the annual number of doctors licensed to practice in Austria from 2000 to 2017 , presented as the number of doctors per 1,000 people . The chart displays a steadily increasing trend over the years , with the number of doctors rising from around 3.5 per 1,000 people in 2000 to just over 5 per 1,000 people by 2017 . The data points are presented at regular intervals of 5 years , providing a clear visualization of the growth in the number of licensed doctors in Austria over the 17-year period covered in the chart .
Model B Generated Answer: The chart is an SVG depicting the number of doctors licensed to practice in Austria from 2000 to 2017 . Encoded in the chart is the number of doctors per 1,000 people . The chart illustrates an increase in the number of doctors per 1,000 people from 2000 to 2017 .","```json
{
    ""Model"": ""Model A"",
    ""Explanation"": ""Model A provides a more comprehensive and detailed description of the chart. It mentions the specific trend in the data, the range of values over time, and the intervals used in the chart, thereby offering informative insights that align well with the chart's content. Model B is concise but lacks specific details that enhance understanding of the chart, such as the steadily increasing trend and specific data points provided by Model A.""
}
```",2536,With Reference,multi-dimensional
"Suppose, you are an human evaluator.
You are given the captions generated by two different models in the chart captioning task. Now, your task is to determine which model is better by considering the relevancy, conciseness, informativeness, and factual correctness of the model generated L1 caption describing the aspects of the chart’s construction (e.g., chart type and axis labels). Ideally, a better quality caption should be concise, factually correct, and relevant to the chart, while also providing high level informative insights of the chart.

Please provide your response in JSON format with the following keys: (i) Model, (ii) Explanation.

Here, the output value for the 'model' key is the respective model that is better, could be either 'Model A' or 'Model B', or 'Tie' if both models are equally good.

The value for the ""Explanation"" key will contain the reason behind your preference.

You should only provide the response in the required JSON format without any additional text such that I can correctly parse the result from your JSON formatted response.

In the following, you are first provided with the gold reference caption. Afterwards, you are given the model generated captions. You are also provided with the chart image which was used as the context for the chart captioning task.
Gold Reference Answer: Apache Corporation 's revenue from 2007 to 2019 ( in million U.S. dollars ) is a bar plot . A categorical scale starting at 2007 and ending at can be seen along the x-axis , marked Year . There is a linear scale of range 0 to 15,000 along the y-axis , marked Revenue in million U.S. dollars .
Model A Generated Answer: The chart depicts the revenue in million U.S. dollars for a certain entity or industry over the years from 2007 to 2019 . The data is presented in the form of vertical bars , with the revenue values displayed on the y-axis and the corresponding years shown on the x-axis . The chart exhibits a clear pattern , with the revenue values peaking around 2012-2013 and then declining in the subsequent years . Overall , the chart provides a visual representation of the financial performance of the entity or industry over the given time period .
Model B Generated Answer: The chart shows the revenue of a company from 2007 to 2019 . The revenue increased from $ 10 billion in 2007 to $ 15 billion in 2012 . Then it decreased to $ 5 billion in 2016 . After that , it increased again to $ 7 billion in 2019 .","```json
{
    ""Model"": ""Model A"",
    ""Explanation"": ""Model A provides a detailed description of the chart's construction, mentioning the chart type, axes, and overall trend, while also being concise and focused. Model B, though informative about specific values, lacks detail about the chart's overall structure and omits axis labels and more general trends. Model A better captures the aspects specified in the gold reference caption.""
}
```",5956,With Reference,multi-dimensional
"Suppose, you are an human evaluator.
You are given the captions generated by two different models in the chart captioning task. Now, your task is to determine which model is better by considering the relevancy, conciseness, informativeness, and factual correctness of the model generated L1 caption describing the aspects of the chart’s construction (e.g., chart type and axis labels). Ideally, a better quality caption should be concise, factually correct, and relevant to the chart, while also providing high level informative insights of the chart.

Please provide your response in JSON format with the following keys: (i) Model, (ii) Explanation.

Here, the output value for the 'model' key is the respective model that is better, could be either 'Model A' or 'Model B', or 'Tie' if both models are equally good.

The value for the ""Explanation"" key will contain the reason behind your preference.

You should only provide the response in the required JSON format without any additional text such that I can correctly parse the result from your JSON formatted response.

In the following, you are first provided with the gold reference caption. Afterwards, you are given the model generated captions. You are also provided with the chart image which was used as the context for the chart captioning task.
Gold Reference Answer: Apache Corporation 's revenue from 2007 to 2019 ( in million U.S. dollars ) is a bar plot . A categorical scale starting at 2007 and ending at can be seen along the x-axis , marked Year . There is a linear scale of range 0 to 15,000 along the y-axis , marked Revenue in million U.S. dollars .
Model A Generated Answer: The chart depicts the revenue in million U.S. dollars for a company or industry over the years from 2007 to 2019 . The data shows a significant increase in revenue from 2007 to 2012 , reaching a peak of around 14,500 million U.S. dollars . After 2012 , the revenue gradually declined , with some fluctuations , until 2019 , where it appears to have stabilized at around 5,000 million U.S. dollars . The chart visually represents this trend using vertical bars , with the height of each bar corresponding to the revenue for a given year .
Model B Generated Answer: The chart shows the revenue of a company from 2007 to 2019 . The revenue increased from $ 10,000,000 in 2007 to $ 15,000,000 in 2012 . Then it decreased to $ 5,000,000 in 2016 . In 2019 , the revenue was $ 7,000,000 .","```json
{
  ""Model"": ""Model A"",
  ""Explanation"": ""Model A provides a more comprehensive and factually accurate description of the chart. It correctly identifies the period from 2007 to 2019, notes the trend with specific values, and describes the chart type as a bar chart, which is relevant to the chart's construction. Model B has factual inaccuracies regarding the revenue amounts and does not describe the chart type or axis labels. Model A is also more informative and relevant.""
}
```",5956,With Reference,multi-dimensional
"Suppose, you are an human evaluator.
You are given the captions generated by two different models in the chart captioning task. Now, your task is to determine which model is better by considering the relevancy, conciseness, informativeness, and factual correctness of the model generated L1 caption describing the aspects of the chart’s construction (e.g., chart type and axis labels). Ideally, a better quality caption should be concise, factually correct, and relevant to the chart, while also providing high level informative insights of the chart.

Please provide your response in JSON format with the following keys: (i) Model, (ii) Explanation.

Here, the output value for the 'model' key is the respective model that is better, could be either 'Model A' or 'Model B', or 'Tie' if both models are equally good.

The value for the ""Explanation"" key will contain the reason behind your preference.

You should only provide the response in the required JSON format without any additional text such that I can correctly parse the result from your JSON formatted response.

In the following, you are first provided with the gold reference caption. Afterwards, you are given the model generated captions. You are also provided with the chart image which was used as the context for the chart captioning task.
Gold Reference Answer: Area of arable land in Mexico from 1980 to 2017 ( in million hectares ) is a line diagram . Area in million hectares is measured with a linear scale from 0 to 20 on the y-axis . The x-axis shows Year .
Model A Generated Answer: The chart depicts the area of arable land in Mexico from 1980 to 2017 , measured in million hectares . The data shows that the area of arable land fluctuated over this period , rising from around 21 million hectares in 1980 to a peak of just under 23 million hectares in the early 2000s , before declining to around 22 million hectares by 2017 . The chart uses a line graph to clearly illustrate the trend in arable land area over the 37-year time frame .
Model B Generated Answer: The chart shows the area of arable land in Mexico from 1980 to 2017 . The amount of arable land has steadily increased over the past four decades , from 16 million hectares in 1980 to 23 million hectares in 2017 .","```json
{
    ""Model"": ""Model A"",
    ""Explanation"": ""Model A provides a factually accurate description of the chart type, time frame, units, and trend over time. While not entirely precise with the numbers, the overall description of fluctuation is more aligned with the chart. Model B incorrectly states steady growth and gives incorrect figures for the start and end years, reducing its factual correctness and relevancy.""
}
```",1444,With Reference,multi-dimensional
